time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-06-13 00:00:00+00:00,0,0,42,2
2023-06-14 00:00:00+00:00,0,0,28,4
2023-06-15 00:00:00+00:00,0,0,7,3
2023-06-21 00:00:00+00:00,2,1,14,2
2023-06-22 00:00:00+00:00,2,1,0,0
2023-06-24 00:00:00+00:00,1,1,0,0
2023-06-27 00:00:00+00:00,1,1,2,2
2023-06-28 00:00:00+00:00,0,0,1,1
2023-06-30 00:00:00+00:00,1,1,0,0
2023-07-05 00:00:00+00:00,0,0,120,1
2023-07-10 00:00:00+00:00,0,0,4,1
2023-07-12 00:00:00+00:00,0,0,1,1
2023-07-13 00:00:00+00:00,2,2,147,2
2023-07-14 00:00:00+00:00,0,0,10,2
2023-07-18 00:00:00+00:00,0,0,40,2
2023-07-24 00:00:00+00:00,0,0,4,1
2023-07-27 00:00:00+00:00,1,1,1,1
2023-07-28 00:00:00+00:00,4,2,1,1
2023-07-29 00:00:00+00:00,0,0,16,1
2023-07-30 00:00:00+00:00,0,0,1,1
2023-08-08 00:00:00+00:00,2,1,81,1
2023-08-10 00:00:00+00:00,1,1,0,0
2023-08-14 00:00:00+00:00,0,0,3,1
2023-08-16 00:00:00+00:00,0,0,1,1
2023-08-22 00:00:00+00:00,0,0,16,1
2023-08-25 00:00:00+00:00,1,1,0,0
2023-08-28 00:00:00+00:00,0,0,3,1
2023-09-01 00:00:00+00:00,0,0,15,2
2023-09-04 00:00:00+00:00,1,1,3,2
2023-09-05 00:00:00+00:00,0,0,7,1
2023-09-08 00:00:00+00:00,0,0,1,1
2023-09-12 00:00:00+00:00,0,0,27,2
2023-09-13 00:00:00+00:00,0,0,40,2
2023-09-14 00:00:00+00:00,0,0,198,3
2023-09-19 00:00:00+00:00,0,0,1,1
2023-09-20 00:00:00+00:00,0,0,11,1
2023-09-25 00:00:00+00:00,0,0,19,1
2023-09-29 00:00:00+00:00,0,0,13,1
2023-09-30 00:00:00+00:00,0,0,6,3
2023-10-03 00:00:00+00:00,1,1,0,0
2023-10-06 00:00:00+00:00,0,0,4,1
2023-10-09 00:00:00+00:00,2,1,7,1
2023-10-10 00:00:00+00:00,2,1,0,0
2023-10-12 00:00:00+00:00,1,1,0,0
2023-10-13 00:00:00+00:00,2,1,0,0
2023-10-14 00:00:00+00:00,0,0,4,1
2023-10-17 00:00:00+00:00,0,0,20,1
2023-10-20 00:00:00+00:00,0,0,13,1
2023-10-23 00:00:00+00:00,0,0,16,1
2023-10-24 00:00:00+00:00,0,0,2,2
2023-10-25 00:00:00+00:00,0,0,1,1
2023-10-27 00:00:00+00:00,1,1,0,0
2023-10-30 00:00:00+00:00,0,0,5,1
2023-11-04 00:00:00+00:00,1,1,0,0
2023-11-05 00:00:00+00:00,2,2,0,0
2023-11-06 00:00:00+00:00,0,0,7,1
2023-11-07 00:00:00+00:00,0,0,46,1
2023-11-12 00:00:00+00:00,0,0,4,2
2023-11-15 00:00:00+00:00,0,0,17,1
2023-11-16 00:00:00+00:00,0,0,20,1
2023-11-20 00:00:00+00:00,0,0,2,2
2023-11-22 00:00:00+00:00,1,1,0,0
2023-11-24 00:00:00+00:00,0,0,1,1
2023-11-25 00:00:00+00:00,0,0,1,1
2023-11-30 00:00:00+00:00,0,0,30,2
2023-12-01 00:00:00+00:00,4,1,0,0
