url_path,views_total,views_unique
/CSAFE-ISU/handwriter,24,14
/CSAFE-ISU/handwriter/tree/master/examples/example_template/data,6,2
/CSAFE-ISU/handwriter/blob/master/examples/example_template/data/model_docs/w0009_s01_pWOZ_r01.png,4,2
/CSAFE-ISU/handwriter/tree/master/examples/example_template/data/model_docs,4,2
/CSAFE-ISU/handwriter/blob/master/docs/index.html,2,2
/CSAFE-ISU/handwriter/releases/tag/v3.2.3,2,2
/CSAFE-ISU/handwriter/tree/master,2,1
/CSAFE-ISU/handwriter/tree/master/examples,2,1
/CSAFE-ISU/handwriter/blob/master/examples/example_template/data/questioned_docs/w0030_s03_pWOZ_r01.png,1,1
/CSAFE-ISU/handwriter/issues,1,1
