time_iso8601,stars_cumulative
2019-01-27 00:00:00+00:00,1
2019-02-05 00:00:00+00:00,2
2019-02-07 00:00:00+00:00,3
2019-03-08 00:00:00+00:00,4
2020-06-26 00:00:00+00:00,5
2021-01-21 00:00:00+00:00,6
2021-06-17 00:00:00+00:00,7
2021-07-31 00:00:00+00:00,8
2021-08-06 00:00:00+00:00,9
2022-09-07 00:00:00+00:00,10
2022-09-09 00:00:00+00:00,11
2022-11-28 00:00:00+00:00,12
2023-01-20 00:00:00+00:00,13
2023-01-23 00:00:00+00:00,14
2023-09-11 00:00:00+00:00,15
2023-12-30 00:00:00+00:00,16
2024-01-10 00:00:00+00:00,17
2024-02-23 00:00:00+00:00,18
2024-03-09 00:00:00+00:00,19
2024-03-29 00:00:00+00:00,20
2024-06-18 00:00:00+00:00,21
2024-06-21 00:00:00+00:00,22
2024-07-06 00:00:00+00:00,23
2025-08-06 00:00:00+00:00,24
2025-09-05 00:00:00+00:00,25
2025-09-09 00:00:00+00:00,26
2025-09-16 00:00:00+00:00,27
2025-10-03 00:00:00+00:00,28
