time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-06-11 00:00:00+00:00,0,0,3,2
2023-06-12 00:00:00+00:00,1,1,10,3
2023-06-13 00:00:00+00:00,0,0,1,1
2023-06-14 00:00:00+00:00,0,0,11,5
2023-06-15 00:00:00+00:00,0,0,2,2
2023-06-16 00:00:00+00:00,0,0,3,3
2023-06-18 00:00:00+00:00,1,1,18,5
2023-06-19 00:00:00+00:00,3,2,2,2
2023-06-20 00:00:00+00:00,1,1,1,1
2023-06-22 00:00:00+00:00,3,2,24,3
2023-06-23 00:00:00+00:00,0,0,3,2
2023-06-24 00:00:00+00:00,0,0,1,1
2023-06-26 00:00:00+00:00,0,0,32,2
2023-06-27 00:00:00+00:00,1,1,24,3
2023-06-28 00:00:00+00:00,0,0,92,5
2023-06-29 00:00:00+00:00,1,1,3,2
2023-06-30 00:00:00+00:00,0,0,10,2
2023-07-02 00:00:00+00:00,0,0,1,1
2023-07-03 00:00:00+00:00,0,0,6,2
2023-07-05 00:00:00+00:00,0,0,3,2
2023-07-06 00:00:00+00:00,0,0,2,1
2023-07-07 00:00:00+00:00,6,3,6,1
2023-07-09 00:00:00+00:00,0,0,2,2
2023-07-10 00:00:00+00:00,5,4,3,3
2023-07-11 00:00:00+00:00,1,1,23,2
2023-07-12 00:00:00+00:00,9,4,17,4
2023-07-13 00:00:00+00:00,2,2,19,4
2023-07-14 00:00:00+00:00,1,1,81,2
2023-07-17 00:00:00+00:00,6,5,21,2
2023-07-18 00:00:00+00:00,2,2,18,1
2023-07-19 00:00:00+00:00,0,0,3,2
2023-07-20 00:00:00+00:00,0,0,1,1
2023-07-21 00:00:00+00:00,0,0,1,1
2023-07-24 00:00:00+00:00,3,2,0,0
2023-07-25 00:00:00+00:00,1,1,0,0
2023-07-27 00:00:00+00:00,0,0,1,1
2023-07-28 00:00:00+00:00,5,2,76,6
2023-07-31 00:00:00+00:00,3,2,16,2
2023-08-01 00:00:00+00:00,2,2,2,2
2023-08-03 00:00:00+00:00,0,0,9,2
2023-08-04 00:00:00+00:00,6,4,102,2
2023-08-05 00:00:00+00:00,1,1,0,0
2023-08-06 00:00:00+00:00,1,1,2,1
2023-08-07 00:00:00+00:00,3,2,19,5
2023-08-08 00:00:00+00:00,1,1,0,0
2023-08-09 00:00:00+00:00,0,0,1,1
2023-08-10 00:00:00+00:00,0,0,5,3
2023-08-11 00:00:00+00:00,4,3,119,1
2023-08-13 00:00:00+00:00,1,1,1,1
2023-08-14 00:00:00+00:00,3,2,4,2
2023-08-15 00:00:00+00:00,0,0,14,3
2023-08-16 00:00:00+00:00,2,2,14,3
2023-08-17 00:00:00+00:00,0,0,1,1
2023-08-18 00:00:00+00:00,6,4,26,1
2023-08-20 00:00:00+00:00,1,1,0,0
2023-08-21 00:00:00+00:00,4,3,2,1
2023-08-22 00:00:00+00:00,0,0,11,1
2023-08-23 00:00:00+00:00,3,1,0,0
2023-08-24 00:00:00+00:00,1,1,13,4
2023-08-25 00:00:00+00:00,2,2,7,4
2023-08-26 00:00:00+00:00,0,0,1,1
2023-08-28 00:00:00+00:00,4,3,2,1
2023-08-29 00:00:00+00:00,2,2,13,2
2023-08-30 00:00:00+00:00,6,4,7,2
2023-08-31 00:00:00+00:00,1,1,1,1
2023-09-02 00:00:00+00:00,2,2,2,1
2023-09-04 00:00:00+00:00,3,2,0,0
2023-09-08 00:00:00+00:00,0,0,1,1
2023-09-09 00:00:00+00:00,0,0,9,1
2023-09-11 00:00:00+00:00,0,0,8,1
2023-09-12 00:00:00+00:00,0,0,3,1
2023-09-13 00:00:00+00:00,1,1,115,3
2023-09-15 00:00:00+00:00,1,1,1,1
2023-09-16 00:00:00+00:00,1,1,0,0
2023-09-18 00:00:00+00:00,0,0,1,1
2023-09-19 00:00:00+00:00,1,1,0,0
2023-09-21 00:00:00+00:00,0,0,7,2
2023-09-23 00:00:00+00:00,0,0,2,2
2023-09-24 00:00:00+00:00,0,0,115,1
2023-09-25 00:00:00+00:00,0,0,13,2
2023-09-27 00:00:00+00:00,0,0,4,3
2023-09-28 00:00:00+00:00,1,1,29,2
2023-09-29 00:00:00+00:00,0,0,1,1
2023-10-02 00:00:00+00:00,1,1,1,1
2023-10-04 00:00:00+00:00,0,0,2,2
2023-10-05 00:00:00+00:00,0,0,1,1
2023-10-06 00:00:00+00:00,7,3,46,3
2023-10-07 00:00:00+00:00,1,1,3,1
2023-10-09 00:00:00+00:00,17,7,13,1
2023-10-10 00:00:00+00:00,5,3,0,0
2023-10-11 00:00:00+00:00,0,0,22,4
2023-10-12 00:00:00+00:00,8,5,72,3
2023-10-13 00:00:00+00:00,11,9,88,6
2023-10-14 00:00:00+00:00,3,3,0,0
2023-10-15 00:00:00+00:00,0,0,1,1
2023-10-16 00:00:00+00:00,7,5,85,3
2023-10-17 00:00:00+00:00,0,0,5,2
2023-10-18 00:00:00+00:00,1,1,49,4
2023-10-19 00:00:00+00:00,1,1,171,4
2023-10-20 00:00:00+00:00,1,1,51,6
2023-10-21 00:00:00+00:00,0,0,1,1
2023-10-23 00:00:00+00:00,3,2,21,4
2023-10-24 00:00:00+00:00,1,1,80,3
